ID,transcript_with_punctuation
QGor7f96ai8,"I'm back home in Hawaii. let's make chapty for a Christmas dinner today, making chopje, which is a popular Korean dish with vegetables and noodles, and I really wanted to make it for my fiance, Alex, whose favorite dish is chop Jay, and for Alex's Korean Grandma, who is also going to be at this Christmas dinner. I remember meeting her for the first time over seven years ago, and she brought chopche to my very first Christmas dinner with her family. as the head of a Korean and Puerto Rican household, she often made traditional dishes like chop Jay and pasteles, and I always admired how she, like many other Asian grandmas, showed her love through cooking, even if the dish she was cooking was a dish she was initially unfamiliar with. and now that she stopped cooking as often, I'm hoping to get back to her what she's giving others and make something that I know she'll love. I was initially nervous because it was my first time making this, but I'm happy to say that it was a success."
-UZpmlhPiR0,"everything I ate on my flight home to Hawaii. for dinner I had this garlic pesto and diced tomato, chicken bagel roll with Maui style chips and a Honolulu Cookie Company cookie. The Bagel rule is fine, basically everything you would expect, but I did love this cookie more. a few hours later I got hungry, so I put out my travel snack pack and this is what I pack. I try to bring snacks that are easy on my stomach, but this should be enough protein and fiber to keep me full. I then passed out for the rest of the flight and then I landed. just kidding, it did not look like this when I landed because it was nighttime and you couldn't actually see anything, but I felt like you deserved a better view than this. but either way, I'm so excited to be home. let me know what videos you want to see while I'm here."
n7GoqHolyLk,"what I ate at the unforgettable Gala, which is an annual Gala that celebrates aapi leaders like simulu, Batman Rock, Sandra Oh, Stephanie Shu, Chloe Kim and many more. first, I started off with this delicious Sesame salad. honestly, any salad with Sesame automatically wins in my book, and bretman himself even said it was so good. then I had the Miso glaze, black cod, which was flavorful and light, and now I want to recreate this at home. stay tuned. the last thing I had was this espresso almond tiramisu cup for dessert, and the cup was chocolate. I know I'm easily impressed, but I really enjoy this. it was honestly such an incredible experience to be surrounded by people in the aapi community that I've always admired, and I'm just feeling grateful, inspired and very full."
Nq2NqlazqBA,"let's make food for a picnic. let's start with preparing our tuna. speaking of tuna, I used to hyperfixate on tuna sandwiches from Subway as a kid and I would always get the worst stomach aches after eating them. and one day my dad watched me eat a tuna sandwich and he realized that I had the entire six inch tuna sandwich in under three minutes. and she was like: whoa, you gotta stop eating so fast. and I listened to him and that's the story of how my dad cured my eighth grade stomach issues. weirdly enough, I haven't had a tuna sandwich since, so I'm excited for these. now we're gonna do a lentil Brusque with the balsamic glaze. so first we're gonna cut the tomatoes and then- I'm kidding- pre-made from Trader Joe's, because we don't have time for that today. now I'm gonna drizzle with glaze and I think I'm going to top it with basil. let's taste test it to make sure it tastes good, guys, yay. [Music]. just give me the grape. no, no, wait, wait."
EcUmgWbzMmU,"I'm a dietitian and this is what I eat for breakfast. first I boil my eggs for six minutes and then transfer it to cooled water. then I mix together soy sauce, water, garlic, honey, jalapeno, pepper, green onions and sesame seeds. then I add the eggs to a container, refrigerate overnight, and the next morning I add it to leftover rice, drizzle some sauce and add kimchi. it only takes a few minutes and it's so good. if you're looking for an easy meal."
HtmeDIp4QhY,"I'm a dietitian and this is day three of realistic nutrition tips. if you can't stand cooking and the idea of cooking vegetables stresses you out, get one of these to microwave steamer and it's going to make your life so much easier. all you have to do is put water in this compartment, put this on top on top and then put your veggies on top. all I have to do now is close the lid and put this in the microwave. cooking time will vary depending on the thickness of the food that you're cooking, but this should take around three minutes. okay, it's been three minutes. perfectly steamed broccoli. you can literally do this for all kinds of vegetables, and it's so much easier and quicker, especially if you just want to get vegetables on the table."
Hx5LMQdtmK8,"how I get my hair from this to this with no heat. first I put my heatless curling rod on my head, then I roughly divide my completely dry hair into small sections and wrap each section around the rod. I work my way down and tie my elastic tight around the rod, then just do the same thing to the other side. I'm going to sleep on this and wake up the next morning and all I have to do is release the clip, take off the elastics and take out the rod. I gently run my fingers to my hair and I might blow dry my bangs, but that is."
IfGp016IaBM,"I'm a dietitian and this is what I eat for breakfast. if you crave something Savory in the morning, this is for you, because I'm making Savory oats. yes, oats can be Savory and they're so much better this way. I'm bringing chicken, bone broth, spinach and soy sauce to a boil, then I'm just going to add my quick oats for one minute before finishing it off with oyster sauce. I'm topping it off with an egg for additional protein and chili oil for a little kick, if you're looking for an easy meal."
8gIWivpcAfw,"so apparently, grapes tossed in lime juice and Jello powder are supposed to taste just like sour candy. I'm a dietitian and we're gonna try this out, so I have washed grapes here and now I'm just going to coat this in lime juice. so now I'm adding the strawberry jello powder to this container and the orange yellow powder to this container. here's what my strawberry grape looks like and here's what the orange one looks like. okay, moment of truth, let's try it out. that was actually pretty good. so this can actually be a fun way to get in more fruit, and it can actually be a little more filling than candy because it has a little more of that fiber. but I wouldn't say that this is just as delicious as sour candy, although this could be an alternative that's lower in added sugars. both this and sour candy can have a place in your diet."
6shs5fSofi8,"I'm a dietitian and I have IBS. let's get my IBS friendly meal for when I'm not feeling well. first, let's make the marinade for a chicken. now. we're gonna let this marinate while we prepare our rice and bok choy. I'm making white rice because it truly is my stomach's best friend in times like these, though I'm used to it. it does suck to have IBS because it can limit your diet and make you feel like you're missing out on Foods, experiences and opportunities. but I have learned that it is possible to adjust your diet and lifestyle to reduce your symptoms. foreign, here we have a Thai Basil cilantro chicken with bok choy and rice. it's delicious and it won't hurt my insides."
C7WP_oNlwXM,"I'm a dietitian and I'm eating instant Ramen for lunch, and I'm gonna tell you why. welcome to the little Series where I show you what I'm eating and why, before you say, oh, this is so processed and so high in sodium. I would never then don't, but I will. Instant Ramen can be a quick and affordable base for a meal. to add more protein, I'm going to add eggs and edamame. to bump up the fiber nutrients, I'm going to add some spinach and carrots. to finish it off, let's add some green onions, Noti and sesame seeds, and now we have an easy, delicious meal that feels doable. always remember to focus on what to add to, not what to subtract from your meals."
ksCHUIWJdOM,"I'm a dietitian and here are three foods that I'm avoiding this Thanksgiving. one: cherry pie because I don't really like the taste and I strongly prefer pumpkin pie. two: mac and cheese just because I'm painfully lactose intolerant and this would send me into an IBS flip. you know what I actually might have this anyway. three: cranberry sauce just because I never actually grew up with this, so I don't really like the taste. but I will be saving this for after Thanksgiving when you put together like a sandwich with all the leftovers- because I actually really like this in like a turkey sandwich. just a reminder that there's no need to restrict yourself before your Thanksgiving meal and there's no need to overcompensate the next day just because you ate more than your typical day. enjoy your food and time with loved ones."
IP0bxHmNzp4,"let's make cornbread for Thanksgiving. I didn't like cornbread much growing up, but then I had this cornbread. I always associate it with my grandma because she made it so often and since she has late stage Alzheimer's now, it makes me remember the times where she was able to cook, eat, talk. damn. I did not mean to turn into one of those food bloggers that tells you their entire life story and it's just like give me your lasagna recipe, but during a time like Thanksgiving it really makes you reflect on what you're thankful for, and I have the one. I'm grateful that I live in LA, because that means I get to visit her in Hawaii more often. I'm also thankful for this cornbread because not only is it super easy to make, but it will always be special to me, and I hope it can now be special for you too, just like Grandma made."
mLboOEwl1yA,"let's make a friendsgiving dish together. Thanksgiving used to be my favorite holiday growing up, but when I went to college it suddenly became the holiday that I liked least, mostly because, as many of you know, I went to school in Boston and I could not make it home to Hawaii for Thanksgiving. my freshman year, this girl was like, oh, are you going home for Thanksgiving? and I was like, no, it's way too expensive for a four day weekend. but I'm really homesick and I really miss my family. keep in mind, I was like tearing up while I said this because I was pretty emotional, and then she was like: oh, that sucks. Thanksgiving is so important and I'm so excited to go home to see family and that's nice, but can you like read the broom? anyways, it took almost 10 years of Thanksgiving away from home, but I'm finally starting to enjoy it again. although I wish I could be with family, I realized that family doesn't have to mean your biological family. it can mean your chosen family, like your friends. today I made a fall salad and I also have cornbread. I hope everyone likes it and I hope you guys have a Happy Thanksgiving."
LaxZ1MN_HII,"are you constipated? well, apparently there's something called an internal shower, which is a drink made of water, chia seeds and lemon, and it's supposed to naturally relieve constipation, just like that. I'm a dietitian and we're going to try this out. so it's supposed to be a glass of water, two tastes, and this is only half a tablespoon. I don't know if you can see this, but it's a lot of chia seeds. let me just show you how much. oh boy, the final ingredient is squeeze of lemon juice. let's try it. so this is not something that I would do, because it doesn't taste good and there's other ways to say regular, though. chia seeds can be a great source of soluble fiber, which can add bulk to stool and help you pass bowel movements more regularly. two tablespoons is a lot for the average person, and that can end up causing more GI issues like bloating and diarrhea. so instead of drinking it straight, it may be more realistic to add it to something like oatmeal or a smoothie and, instead of two tablespoons, maybe start with one and then go from there."
76xHImc2-qc,"I'm a dietitian, and let's me apart for the week. in under an hour we're going to start with making some rice. now we're going to cook our chicken and I promise the next steps are super easy. cook ground chicken, then add veggies like broccoli, snow peas and shredded carrots. while that's cooking, let's make a sauce out of soy sauce, sesame oil, honey, ginger, garlic and whisk. honestly, this is the easiest prepped meal so far."
7aQFot1gb0Y,"so I could get my first two surprise bags from. too good to go. I feel like I've been seeing this all over the Internet recently, if you haven't already seen those videos. too good to go with this app that lets people reduce food waste by letting people buy surprise bags of food from restaurants and you're buying it at a significantly lower price just because this food is unsold, Surplus, so you never know what you're going to get, but from what I've seen, it's usually always a really good deal. let's see what's inside of them. we have a muffin, a delicious smelling brownie, another muffin, a chocolate chip cookie that I just broke, this little pastry and two sandwiches. I got all of this for 5.99 in LA, and that's just one bag. this bag is also 5.99. let's see what we have. oh, a banana muffin, another pastry, something a little more Savory. all of this for under 12. I would say that it was a really great deal and I'm helping reduce food waste, so it's a win-win. 10 out of 10. would definitely recommend."
NnQRppljPtk,"I spent an afternoon at the LA Google YouTube office and here's what it looks like. I first got lunch with Mary Jo, my partner manager at YouTube, and Brittany, my manager. they did so many delicious food stations and everything was free. as someone who has never worked in an office with free food, this was extremely exciting for me. it was hard to pick, but I got a bowl of rice with bok choy, carrots, seaweed salad, kimchi and spicy pickled cucumbers, along with a side salad and chocolate chip cookie. it was kind of spicy, so I, Loki, had a stomachache because of my IBS, but I didn't want to ruin the fun. we started our tour and our first stop was this coffee shop with free drinks, since this office used to be Howard hughes's Hangar. there's a lot of history here, which is highlighted by all these exhibits. they have so many cool rooms, like this Library, nap room, music room and gaming room. yes, I said gaming room. they had so many games. and did I already mention the free food everywhere? because not only did they have free ice cream, cereal, fruit, to go meals and Candy, but they also had drawers of delicious and nutritious snacks. I may or may not have stoned some, because I'm Asian and I love free stuff, but coming from working at a hospital, it's such a different setting and super interesting to see."
1aHZX6UNVts,"so apparently, Frozen Cool Whip is supposed to taste exactly like ice cream but be lower in calories and healthier. I'm a dietitian and we're going to try this out. I have nothing against Cool Whip, but it's still not ice cream. I mean, yes, it is lower in calories, added sugar and saturated fat, but if you want ice cream, you can have ice cream. I understand that lower calorie Alternatives work for some people, but don't feel bad if you're in the mood for the real thing, because ice cream is much more satisfying, which can make a balanced eating pattern much more sustainable in the long term."
pDxmaka1kwk,"really, what's your major? oh, it's mathematics. wow, you're so smart. I could never do that. I cannot keep having the same conversation. this is."
ck6YJBDgavw,"I'm a dietitian and I hate meal prepping, but today I will be trying again, so let's me open my lunch for the next few days. I personally find meal prep overwhelming, especially when I'm trying to find meals I like and not get bored of them. but I'm hoping I can figure things out in this series- and hopefully you will too, because I'll include everything I made in each video. I always felt like a bad dietitian for not liking meal prepping and planning my meals and I was like, oh no wait, I'm just a normal person. I also don't like working harder than I have to, and meal prepping is working really hard. but hey, I'm trying to save money and I'm trying to feed myself, so sign me up. foreign chicken with roasted veggies and quinoa, that's good."
GUAf4qm-vKM,"I hate meal prepping, so let's make super easy: gochujang, Sesame, mason jar noodles that require minimal effort. add your base first. mines is better than bouillon. soy sauce, sesame oil, gochujang and grated Ginger. I'm adding veggies like purple cabbage and bok choy, and then edamame and shredded chicken for protein. top it off with noodles so it doesn't get soggy, and all you have to do is add hot water and it's ready to eat. this is perfect for me because"
5mfqCV9X4F8,"is not chicken, it's actually shredded tofu, and this barbecue pulled tofu sandwich I'm making is really easy and quick to prepare. I just tossed it with a sauce, baked it and heated it on the stovetop with barbecue sauce. pair it with your favorite coleslaw and some fries, if you want, and you'll have an easy, delicious dinner. when you try it, you'll be shocked when you realize."
fhiYTPE4aKQ,"I'm a dietitian and what I ate for lunch. add rice to a sheet of nodi, then sliced cucumbers, some tuna mixed with sriracha and mayo and sliced avocado. top with another thin layer of rice and fold into a square wrap. the plastic wrap around the Noti, cut in half and enjoy. if you're looking for an easy and delicious lunch."
wIZXalKXqaA,"rating Foods I had in Amsterdam. I had to try Indonesian food here. I got everything you see on the screen and it was life-changing. I will be incorporating more Indonesian food into my diet. nine and a half out of ten. I also had to try the Stroop waffle. I tried the kletzkop and Oreo flavor- a little pricey but so good. nine out of ten. there was a point where my stomach was feeling a little sensitive, but I had already made reservations. at the Sichuan restaurant I got stir-fried veggies, tofu, egg fried noodles and this was so flavorful yet so easy on my stomach. nine out of ten. one thing about me is that I will always get udon anywhere, including in Amsterdam, and this place did not disappoint. it was unexpectedly authentic and it hit the spot. nine out of ten. we had to get the fries here. I got mines at this order and they were so crispy. love the sauce. eight and a half out of ten. lastly, I had to try the chicken and lebani wrap with red lentil soup because it was so highly recommended and it did not disappoint. I couldn't have too much of the soup because IBS, but both were absolutely delicious. nine and a half out of ten."
Fvh1eJeOupQ,"come with me as I take a cooking class in Paris. before we cooked anything, we visited the local markets and interacted with the local vendors. there, we were able to determine which ingredients were fresh and in season, which then shaped our meal. we spent the next few hours preparing our meal together, while the chef showed us tips and tricks to prepare each dish. we had razor clams and fresh bread to start off. this is footage of us soaking the clams in water before cooking them. then we had sauteed chantrals and grilled porcini mushrooms. our main was roasted lamb shoulder with corn feed, fennel and green plums, and the lamb was so tender and paired perfectly with a fennel and plums. we then had a cheese board with bread and ended the meal with a citrus curd and seasonal figs. I'm gonna be honest: everything I ate today was pretty new for me, so this was such a cool experience. 10 out of 10 would recommend."
36gbl51LLDA,"reading meals I had in London. this chicken kebab was so full of flavor so I'm giving it a nine and a half out of ten. I'm docking it half a point because it was a little spicy and my stomach needed to rest after this, but that was entirely my fault. these eggs with the salad was a 9 out of ten. the eggs were good but the salad was incredible and likely the reason I felt a little gassy after this. either way, I was really satisfied, probably due to the fiber and protein from this meal. this tonkatsu Bento was easily 100 out of ten. this is my dream meal and this- along with a sushi rolls, you see- was only 15. Yes, you heard me right: only fifteen dollars. this egg and avocado sandwich with a biscuit was one of the simplest meals but yet one of the most satisfying meals, probably because it was one of the first meals after my long flight. but easily still an eight and a half out of ten. this Katja Pepe was the result of a nighttime craving and a 9 out of 10.. I cannot find a good Katra pepper in the States, but this was so creamy and no Lactaid was needed because- fun fact- the main ingredient of Cacho Pepe is hardage cheeses which has little snow: lactose."
oYWxNy7DNR4,"what I ate in a day in London for breakfast, diet eggs with sourdough, toast, sauteed spinach, roasted tomatoes, mushrooms and black Penny beans. this was such a good breakfast and the beans were the best beans I've had in my life. I always like to make sure I'm having a filling breakfast on vacation, since I've been walking around so much and I need to make sure I'm properly energized. for lunch I had my favorite meal of the whole trip at dishum, which was highly recommended to me, like a hundred times before I came. we got the chicken, Ruby, black doll, gun powder, potatoes, chili, broccoli, salad, chicken, biryani and naan. as I mentioned, this was the most delicious meal I've had in a long time and everything was so flavorful. addition pays homage to the Ronnie cafes and the food of Bombay. though I would usually have a snack, I was so full from lunch so I didn't eat again until dinner. for dinner I went to Golden Union and got the cotton chips with a side salad, because I'm in London and I need to try fish and chips. the cotton chips were so crispy and tasty and the salad was a salad. but hey, I have to stay regular somehow. overall, 10 out of 10 day. it's so important to enjoy the food you're eating, especially on vacation. it's also a great way to try new foods that you may not have much of back home."
IfTkrdu-Yfs,"everything I ate on my 11 hour flight to London. for dinner I had to choose between a chicken fajita or vegetable cottage pie, so I chose the chicken fajita and got this. this came with a small piece of bread and a brownie- the chicken feed. it was tasty, but the portion was really small. the bread was kind of dense, but I love bread, so I was still happy. after a few hours I whipped out my airplane stack pack, which is made of shelf, stable, high protein, high fiber snacks. I'll list everything here. this is really easy to eat and really satisfying. I worked for a few hours and an hour after finally falling asleep I was awoken for breakfast and don't get me wrong, it looked really good: Icelandic yogurt with breakfast biscuit and pastry- but, as you can tell, I was way too exhausted to film it. but I did eat it and it was fine. after 11 hours we finally landed in London. this is actually my first time here, so if anyone has any recommendations, please let me know."
fSf2ZEVS2wk,"I went to college more than 5 000 miles away from home. make dinner with me. they talk about how it changed the way I viewed food. just in case you're new here, I was born and raised in Hawaii, but I went to college in Boston and in case you haven't been to either of these places, they're Polar Opposites. I was definitely in a new environment with new people, a new schedule, new food and just any college student does. I missed home, and the closest thing I had to home in Boston was food, but there wasn't a lot of Hawaii food in Boston, so I had to make my own and since I Associated food with childhood memories, lessons I've learned and people I loved, it made me feel closer to home. now I'm nourishing my body. it made me feel connected to my roots and this is actually what started to make me feel proud of where I came from. now don't get me wrong: I grew to love Boston as a second home and I appreciate all the new experiences I had- people I met and food that I tried. oddly enough, being more than five thousand miles away from home made me appreciate home even more and I'm so grateful for that. today we have a baked chicken, Kata curry with rice and a salad with miso. let's eat so good."
rcOw_moqt2c,"it's time to meal prep my mason jar noodles. you might have already seen my first mason jar noodle video, but this time we're doing a miso broth. so start with miso paste- better than bouillon, vegetable base- and soy sauce, cabbage, shredded carrots, Tofu for protein, noodles and green onions. you can store these in the fridge for meal prep, but when you're ready to eat them, bring them to room temperature, pour in hot water, cover and Shake. I love this so much that it actually makes me excited when"
uQpqwR5H9hY,"i'm not usually a mushroom girl, but i am an enoki mushroom girl, not just because they're fun to eat, but also because they're high in vitamin b3. just rinse them, pat them dry and mix together gochujang, soy sauce, sugar, medium and sesame oil. add them to a pan with oil and garlic and then add in the sauce- so much tastier than your average mushroom and so fun to eat, which is why."
vWSsO_88BVc,"let's meal prep. my mason jar noodles- you've heard of mason jar salads, but this is even easier. start with your base: i'm using soy sauce, oyster sauce and better than bouillon. then pack your veggies: i'm using snow peas and shredded carrots. then your protein: i like cooked and shredded chicken. don't forget your noodles. i like rice noodles so it can easily cook. and lastly, a garnish like cilantro. when you're ready to eat, let your mason jar come to room temp, pour hot water and cover for a few minutes. give it a shake and you'll have the most delicious noodles. it's almost that time of the week again, so"
-jiJ8IzO17U,"i'm a dietitian and i used to absolutely hate food. make lunch with me, as i tell you why. i grew up as a really picky eater, like to the point where i didn't want to eat food. i had this intense fear of vomiting and ocd, which ended up manifesting into a full-blown eating disorder. there are multiple days where i had to leave class as a nine-year-old because i didn't have enough energy to make it throughout the day. what people don't understand is that food is one of the most vital components of our lives. not only does it fuel us and give us energy to make it throughout the day, but it's present everywhere, all the time, whether it's having lunch at school, eating dinner with family or going out to brunch with friends. and after you spend so long fighting food, you grow to hate it and fear anything related to it, and i ended up getting hospitalized and almost dying because of this fear. and then i saw a dietitian and they saved my life and relationship with food. it's not as though it happened overnight and that the process was easy, but here i am as a dietitian, making food i would have never eaten at the time and loving food more and more every day. while doing so we have summer rolls with cucumber, carrots, rice noodles and sesame tofu with a peanut sauce. let's eat, um so good."
L9Ydf8ZNfDE,"so I got a box today and I'm pretty sure it's my Creator award for reaching 100 000 subscribers, so I obviously wanted to share with you guys. first, since it's all thanks to you guys, let's unbox this together. I know it's not like the craziest accomplishment ever. it's still bigger than anything I thought I would achieve. so thank you. now let's put it somewhere."
pbXxMRAQvms,"I'm a dietitian and this is day two of realistic nutrition tips that you can actually start today. I'm about to tell you one of my biggest tips: focus on adding, not subtracting. instead of saying that bagels have carbs and that we should avoid them, let's ask ourselves: what can we ask them? we're missing protein, so let's add pesto eggs. protein is going to keep me full and it makes up hormones and many important enzymes. so now we're missing fibers, so let's add some arugula. fiber helps control blood sugar levels and can lower risk of certain Cancers and cardiovascular events. now let's make a meal tasty for ourselves. for me, I'm gonna add some cheese and hot sauce to bring it all together. as I've said before, we can still have carbs, but perhaps as part of a larger meal. that will help us stay energized and nourished."
WHtf5FhFfAY,"i'm a dietician and this is what i eat for breakfast. first, add rice paper to a hot pan, then chili oil and egg scallions and top it off with cupid mayo and sriracha. fold it in half and that's it. i make at least two of these and it only takes five minutes. if you're looking for a quick meal,"
UlVKpXOLtxg,"i'm a dietician and this is day one of realistic nutrition tips that you can actually start today. this tip was life-changing for me personally. i used to get the worst stomach aches and bloating when i was a kid, but it's because i eat too fast and finish my whole meal in like five minutes. if you want to slow down your eating paste because you find yourself inhaling food in short periods of time, place your fork and our food down between bites, just like this, and when you're done, go back for your next bite. it's that simple, but it makes a big difference. now that i've been doing it since i was younger, i take longer to eat, which gives my body time to digest and signal to my brain that i'm full."
awDtGXJsOUI,"this is part five to five things i would personally never do after working as a dietitian. let me know if you wanna hear more, because i have more of these. one, i would never tell people that they have to avoid canola oil. notice how people telling you to completely avoid it because it's inflammatory tend to have three things in common. one, they don't have credentials. two, they have no relevant formal education. and three, they have no professional training. whether or not you use canola oil to cook that delicious, balanced meal at home is not something you should be extremely concerned about. two, i would never tell someone that brown sugar is healthier than white sugar, because it's not. brown sugar is usually white sugar, but with molasses added back to it. three, i would never take a fat burning or metabolism boosting supplement, because none of them were. four, i would never take one of those dna tests that tells you which diet is supposed to be best for you, given your dna. you don't have the science to develop such personalized nutrition recommendations yet. five, i wouldn't tell someone that diet soda is way worse for them than regular soda, because it's not true. that myth is especially not helpful for people with diabetes, who could benefit from reducing added sugar intake if they're drinking a lot of regular soda. so choose whichever one fits your health goals."
ToUeoX5CPsc,"make an easy dinner with me as i tell you fun facts about myself. as you may already know, my name is kylie, i'm a dietician and i'm 27.. i was born and raised in hawaii, but i went to college and lived in boston for eight years, but i moved to la last year to be close to my family and also to be warmer, really sick as a kid and had a lot of eating issues. so i saw a dietitian and that's how i first became interested in the field. i have ibs, but i'm pretty used to it now, since i've had it since i was 13.. oh yeah, i'm also engaged to a guy i've been dating for seven years. i really struggled with feeling proud of my japanese culture until college, but now it's one of the things that i'm the most proud of. i played classical guitar and piano for a good chunk of my life, but then i stopped because i hate performing and being in front of people. things i love: spam recipe, any type of bread, and japanese food. things i hate parsley, lastly, i've never lost them wrestling, more ever. and here's our final meal. we have rice, sriracha, glazed tofu, shredded carrots, cucumbers, avocado and edamame, topped with furikake. she'll go."
8ygg9jrtVpg,"i'm a dietician and this is one of my biggest recommendations. blend your cottage cheese and make it into a high protein dip. add cottage cheese, garlic, chipotle pepper, cilantro and lime juice in a food processor or blender and blend. one cup of this chipotle cilantro line dip has 26 grams of protein. you get to have it with chips, bell peppers. it's the perfect balance snack."
JeU4M9Phzrs,"five things I'll never do after working as a dietitian. I have more of these, so just let me know if you want to hear more one: I will not be spending extra money on alkaline water. our bodies do a great job at regulating pH on its own. alkaline water will not help with this. two: I will not tell people that drinking coffee will dehydrate them. coffee does have a mild diuretic effect that can cause you to pee, but the fluid you're drinking when you're drinking coffee offsets this. three: I will not be listening to a majority of people on this app that claim they're gut health experts. all these girls are talking about gut health is, though, your stomach issues and gut health will improve if you do what they say: cut these Foods out, take this supplement, drink the smoothie. it doesn't work like that, and everyone's symptoms can be due to different causes, even if they have the same symptoms. four: I will not be avoiding microwave. a lot of people claim that microwaves zap the nutrients from food, but heating Foods up, even on the stove, can break nutrients down. microwaves are actually better at preserving some of these nutrients because cook time is shorter. five: I will not be drinking celery juice. it doesn't have all the crazy health benefits that people claim it does, and also I don't like the taste. if you want to drink it, that's fine."
Sog9EN6e2Rk,"this is part three of five things I would personally never do. after working as a dietitian, I have more of these, so just let me know if you want to hear more. one: I will not be avoiding MSG. Decades of research have found no link between Chinese restaurant syndrome and MSG, and the idea that MSG is a neurotoxin is false. two: I will never buy fresh fruits and vegetables. exclusively Frozen produce is just as not more nutritious than fresh, and they're much more affordable and accessible. three: I won't be avoiding soy. we actually have evidence to show that it reduces cancer risk. notice how prostate and breast cancer rates are lower in Asian countries, even though they consume much more soy than Americans. four: I won't be avoiding gluten because I don't have celiac disease or gluten sensitivity. noodles and bread are my favorite, and I'm here to tell you that you're not making a healthier choice by avoiding them if you don't have to. five: I will not be avoiding a food just because I can't pronounce some of the ingredients on the nutrition label, because if I were to follow that logic, then I wouldn't be able to eat anything, even blueberries."
JcPB-Dp6erw,"this is part two to five things i would personally never do after working as a dietitian. as i said before, i have a lot of these, so let me know if you want to hear more. one: i wouldn't buy organic just because it's healthier, because it's not. the dirty dozen and clean 15 are not legit. two, i never take any nutrition and health documentary- like what the hell seriously. many of these documentaries are not credible because they cherry picked data. they're also very biased. three, i'm never choosing sweet potatoes over white potatoes because it's healthier, because it's not. they're both very nutritious. four, i'm not gonna buy sea salt or pink himalayan salt just because it's healthier than table salt, because it's not. there's no significant nutritional difference. i choose based off my cooking preferences. and five, i will not avoid gmos for health reasons. gmos are not inherently unhealthy and it's time we stop pushing that narrative."
wYi6NqCUUEk,"these are five things i personally never do after working as a dietitian. i have so many of these, so let me know if you want to hear more. one: i would never do a juice cleanse. no, it does not detox your body and no, it doesn't reset anything. two: i wouldn't pay for a food sensitivity test. keep in mind there's a big difference between a food allergy test and a food sensitivity test. one is evidence-based and one is a waste of money. three: i would never do prolonger any program that required me to fast for an extended period of time. it makes you feel horrible and it promotes unhealthy eating behaviors. it's basically an expensive way to starve yourself. four: i would not use a waist trainer. the results you're seeing are temporary. five: i would never buy a flat tummy to you or any tea that claims that i can make you lose weight, because they all do one thing and that's make you shade yourself, and that's just not on my bucket list personally."
k3WztZdGB5I,"the most delicious high protein dip and you won't believe what it's made out of. first, blend cottage cheese. trust me, i don't love the texture, but the blender makes it light and fluffy. then add one minced scarlet clove to basil leaves, one teaspoon dill and oregano and black pepper. then dip anything you want. it tastes so good and it's 26 grams of protein."
zXfKuvuRRu8,"today i'm going to share with you what i tell people when they say they want to start eating healthier. you want to focus on adding, not subtracting, which means you want to focus on what you can add to your diet instead of what you want to take away. let's take this bowl of cereal. most people look at this and think i should really stop eating carbs. but instead of thinking of what to take away, let's ask ourselves: what are we missing? protein keeps us satiated, so we want to make sure we're having this with all of our meals. an easy and popular example would be milk, because it's a complete, high quality protein. that's why we feel fuller and satiated for longer when we have milk and cereal together. the second thing we want to add is fiber. since many breakfast cereals may not have a good source of fiber, let's add some fruits, crushed nuts and seeds. not only will fiber keep us fuller, but it can help control blood sugar levels, improve our gi health and lower cholesterol levels. nuts and seeds also provide healthy fats, which can also help keep you full and help with the absorption of vitamins a, d, e and k. notice how our bowl is no longer just cereal. we can still have our favorite carbs, but perhaps it's part of a larger meal that will help us stay energized and satiated."
T-GfxayE67U,"as you all know, i'm a dietician and there's something that many of us have been hiding from the public that i want to come clean about. what i'm about to show you is an extremely concerning study that many of us are trying to cover up, because it basically discredits everything we've been saying, and it also shows how much the government has been lying to you, and i'm nervous about what's gonna happen to me after i post this video, but you guys deserve to know the truth. but here it is."
qxqegEG73Po,"[Music] to pump me up, feeling fussy, walking in my ballistics trying to bring out the fabulous cause i give a [ __ ] wait, so much."
sXCadXZX8mk,"if you're new here, i'm a dietician and people always ask: what are your favorites in trudeau's like, what do you love? and boy, do i have a list for you. this is the most underrated product of all time. like it is, oh good. add some protein, like chicken or tofu, some veggies and you have yourself the most delicious balanced meal. just like- please try it. very delicious, like 10 out of 10. such a great sweet treat. if you're looking for something portion controlled, okay, hear me out. i know they don't look super exciting, but they are fantastic. you can eat them hot or cold and, as the ceo of lazy meals, i add them to everything: for protein: salads, soups, dips, you name it. number one on top ten unsolved mysteries of all time is: why isn't everyone obsessed with roasted seaweed, the way that i? i eat it on everything: rice popcorn by itself as a snack. so delicious, i love it. maybe it's because i grew up on roasted seaweed, but i cannot get enough of it. the chicken, shawarma thighs, it's already seasoned and i use this for so many different types of dishes. it's so great, it's."
9H4GWbpLng0,"let's make an easy dinner while i'm home. let's make an easy dinner while i'm home in hawaii. i don't see a lot of koi recipes on here, so i figured i'd share one of my favorite ones that you can make at home even if you're not in hawaii. today we're making a dish called shoyu chicken. first you're going to add soy sauce, water, brown sugar, ginger, garlic, rice vinegar and green onions, and then you're just going to add your chicken thighs in. you're going to bring this to a boil and let it simmer for 30 minutes, and then you're going to turn the chicken over and let it simmer for another 30 minutes. after those 30 minutes are up, you're going to broil the chicken for around 2 minutes. that will come out caramelized and crispy. i'm having my sugar chicken with rice and soy, ginger, green beans, and there you go: an easy, balanced, delicious hawaii meal- so good."
