,0
541,id: cipSo0L9Jmw
542,all right somebody asked me how I deal with or what you do if they have sugar Cravings well one assume they're going to occur particularly early on with with say a carnivore diet number one you have to have a plan in place uh we know that Cravings are time limited they're going to last for 30 minutes 45 minutes something like that it's often based upon surges and certain hormones things like ghrelin so if we know they're going to only last for 30 40 minutes that's all we got to do figure out what to do for 30 or 45 minutes go for a walk do some exercise distract yourself read a book watch a show something to take your mind off of that the other thing is replace it with something more appropriate you know have some steak cooked up have some bacon have something some boiled eggs or something like that to give you something to do expand your stomach with volume drink a whole bunch of water you can make you know like uh I'll often have made homemade jello out of just plain gelatin with a little bit of like electrolyte flavored powder in there with no sugar those are some of the things you can do but you have to have a plan in place 
543,id: kxR0Xvftfj4
544,okay question is about endometriosis can a carnivore diet help with endometriosis well the short answer is we have had a number of women where the answer is yes in fact any of these health conditions you know that you that you wonder about almost with with rare exception there's some really rare rare things that we people don't see but most of the more common health conditions you can go to carnivore dot diet and look under success stories and then just type in the word diabetes heart disease back pain you know rheumatoid arthritis you type in the search function and you will find people that will share what they did and how they overcame those particular conditions and yes carnivore diet has helped with endometriosis and diabetes and psoriasis and rheumatoid arthritis an Ankylosing Spondylitis and Crohn's disease and also colitis and high blood pressure and up you know on and on and on and on so anyway carnivore.use the search button for success stories okay thanks 
545,id: Rhfz6-kfrk8
546,or somebody asked if I eat fruit on a carnivore diet well no then it wouldn't be a carnivore diet just to be clear with that now can you eat fruit and eat a bunch of meat sure you can and some people do fine with that but that's not a carnivore diet um many people do fine with fruit but many people don't so you just have to kind of see what you're going on you know what you're doing people with diabetes may find it fruit unnecessarily causes too much glucose variability there's other people that have issues with fruit it is not inherently necessarily a bad thing but again it is not part of a carnivore diet but again I'm not suggesting everybody needs to be on a strict carnivore diet it's it's a very useful tool for many many people and it can solve a lot of problems and you know what you ultimately do over the long term it may be very something different but no fruit is not part of the carnivore diet I do not personally consume any significant amounts of fruit uh you know I might have a piece once a year or something like that 
547,id: QSZPyn_DUHw
548,is carnivore diet safer appropriate for someone who's had their gallbladder out well I can tell you that there are many many people who have successfully done a carnival night without a gallbladder often you know particularly if it's early on you've just had your gallbladder out you might have to play with um decreasing the amount of fat you're exposed to during any one given setting or one one given meal that might be solved by just eating more frequent smaller meals a lot of people who've chronically had their gallbladder bladder out for years will develop the ability to basically have kind of a quote-unquote pseudo gallbladder where the common bile duct actually expands and you have a bile Reservoir that is dumped into the small intestine when you're exposed to you know fat in the diet so I mean for some people it's not an issue at all some people initially during the transition might have to limit how much fat they consume per meal and you can get around that by having smaller frequent more frequent meals eventually most people adapt and can can do fine without a gallbladder so yes gallbladder is fine 
549,id: aBIWyObKjUI
550,thank you for doing us and thanks for doing what you do in general to get the word out there I think I am definitely seeing a an incredible growth in this whole Carnival or animal-based movement it's growing and growing I don't think it's slowing down I think I think we're going to reach a threshold Tipping Point to one point where people finally say look we're tired of the BS nonsense it's about how meat is bad for us 
551,id: ljK_reIyhRo
552,I didn't even hear about that like embrace the quote I actually am like one of the unique cases of somebody who actually goes to the restroom twice a day some people are going one time a day or one time in five days my digestion is just really Keen right now it's super good you can give me a bunch of steak and I'll turn it into something beautiful and that is I think what we notice people think of your cosplay no no you're just actually absorbing your food it's actually getting to where it needs to be it's not just taking up residence in your colon where I think if you look at how much food is actually wasted on a plant-based diet the organic fruits and vegetables it rot in your fridge and you end up throwing them out but much of the nutrition actually ends up in your toilet because you don't even absorb it there so it's a very inefficient way to consume nutrition whereas an animal-based diet is I don't think I've ever thrown out a steak I go on vacation and I might over buy because I'm cooking my own meals I'm like oh crap I can't take the steak on my plane I better hurry up and eat it or the worst case now I've given it to people I got an exercise 
553,id: 2HBskksF0vQ
554,all right when might you want to be eating sticks of butter well I think outside of maybe early transition periods to ketogenic diets or carnivore diets uh that largely is going to be kind of productive now in the beginning you know when you're having struggles switching over from more carbohydrate-based diet to more fat based diet you're not very efficient at using some of these different ratios you know flooding your system with more fat might be beneficial it does seem to help people with certain neurologic conditions it seems to help people with certain hormonal issues but after a period of time I'm not sure that that benefit persists and it certainly makes it difficult to continue with weight loss efforts for many people you know again the over consumption of fat is a real issue fat is very important we need a decent amount for sure on a carnivore diet and we don't have carbohydrates but you can overdo it so I would just be cautious with people that are you know kind of convincing you to eat sticks and sticks of butter every day that probably is is counterproductive a little bit's okay too much can be a problem all right guys take care 
555,id: Za8ovvljc3c
556,all right when might you want to increase protein in your diet well I think the most obvious time is when you want to put on muscle you know muscles built out of protein you know it's not built out of carbohydrates for the most part that does have a role in there but uh if you're trying to uh you've gotten the point where you lost some weight you want to put on a little more muscle you know you might want to help protein protein is a good thing in my view and I think it's something that most people would benefit from putting on a little more muscle I mean there's there's certainly people that are too fat but there's also a lot of people that are too darn prep and we don't want either of those so uh getting lean putting on muscle protein is is part of that equation I think often it's a big part the most important thing is the training though I don't care how much protein you eat if you don't train you're not going to turn much of it into muscle all right guys let me know what you think we'll talk to you soon 
557,id: 6xNDuioTbOE
558,uh what do I think about the gut microbiome to properly digest plants well I mean there's some truth to that you think about that the only way that we can extract some nutrition that some of these plants is through our microbiome remember uh insoluble fiber in particular which is a lot of component of uh plant food fruits and vegetables and things like that will not break down in our gut by itself so we need that microbiome to be there now the interesting thing about that is meat you don't need any microbiome we are actually designed to break down meat completely without any significant microbiome in fact there's people that don't have a microbiome effectively that have had colectomies or colon is gone they don't have a microbiome they break down meat just fine but the vegetables require that so what does that tell you that vegetables are conditionally able to be utilized for people whereas meat is always able to be utilized by people it's an interesting distinction glad you asked it 
559,id: dVpO6WK6wU8
560,our students asked me do you have to worry about macronutrient ratios well I mean kind of you do I mean you can't just eat pure protein or pure fat so you know I'm talking in the context of carnivore diet and so um you need to get adequate amount of protein to run your you know to to provide structure for the body and just enough enough fat to uh uh you know have energy and so what does that look like for most people for most people on a carnivore diet without carbohydrates most people are going to get between 60 and 80 percent of their calories coming from fat remember a gram of fat is about nine calories and a gram of protein is for some people there's some evidence it might be lower than four but yes so you have to make sure you have fat most people seem to do well in you know over the Long Haul so but if you just eat meat by itself you're probably going to hit those macronutrients without thinking about it alright guys take care 
561,id: nQijIMXR6tg
562,all right question about whether or not I take any uh digestive enzymes on a carbon I personally don't I have no problem digesting meat uh however some people particularly early on particularly if they're coming from a background where they've had some sort of gastrointestinal issue uh low stomach pH or something they've been on suppressive medications for years sometimes may benefit from that so the the the digestive enzymes that I've seen that be perhaps the most effective are typically things like uh betan hydrochloride which will be a to the hydrochloric acid and then the pancreatic enzymes you get pancreatic lipases and proteases that can help you to break down that I'm kind of less inclin to represent I'm sorry to recommend things like uh Ox pile and things like that because I think that often leads to just lots of lipid malabsorption type issues so those two things can be helpful most people only have to do them for a short period of time and that hopefully as they gut sort of normalizes they won't need that remember we're supposed to secrete a lot of acid that's normal for us 
563,id: FPR5ZzO2KM0
564,all somebody says they like they prefer leaner cuts of meat like fillet and flat iron steaks and could bacon be utilized as a supplement to the fat short answer is yes sure you can do that that's fine and I think that's uh that's a reasonable way to do it you got to again at the end of the day no diet is sustainable if you don't like the food so if you don't like riye steaks for whatever reason maybe you got dropped on the head when you're a baby I'm kidding uh you know you do what what you enjoy and that's that's the only way these things work a diet has to be enjoyable for you to to sustain it so so uh Bacon fat is generally fine for for a lot of people you know you may there are other sources of fat out there but uh I've seen a lot of people do very well mixing beef and bacon uh you know there maybe some some exceptions to that but but generally I think that's that's probably fine for for many people 
565,id: RTrNDjxAJVI
566,hey guys just wanted to announce that we are ready to go live with rivero.com uh if you have metabolic disease obesity hypertension diabetes pre-diabies so on and so forth these will be our initial patients so you can sign up to get on our waiting list which will open very shortly uh happy to announce this it's a big day we've been working on this stuff for well over a year some of you know as we raised several million dollars to get this started and you know it's time to change the way we do Health Care instead of just managing symptoms and compiling more drugs on we're going to focus on root cause getting people off medications and doing what's been done all along anyway go check it out check out the link below 
567,id: T5-RJKkqEKg
568,all right quick update on the meat here in France I'm in the north of France near Lille uh in a little town called rube uh butcher a couple times now I've gotten rib eye or Entre coat for about 18 a kilo which is about eight dollars and fifty cents a pound uh I think it's all been grass finished uh a little bit leaner uh but it's been fine so actually quite reasonable at least here in northern France at least from my perspective I think maybe some of the people here it might be a little more expensive just because the salaries are a little lower here in France than they are in the U.S but that are the current prices in case somebody's interested 
569,id: QACrg5Z2CSU
570,they got a little giveaway uh with carnivore Christopher giving away two bags of their beef brisket uh to two people that uh that win that uh look down in the description below to find out the details if you want to try that product out if you've had that let me know in the comments what you think of the uh uh the product as well I quite enjoy it I think it's a good a good little uh snack idea for those that still like to snack on Carnivore so don't forget to uh follow the directions down in the caption good luck and hopefully you guys win 
571,id: PBKBLrcn6Pc
572,all right in 2018 uh obesity rates in the United States were said to be 42 percent now 70 of the population is overweight 42 percent of us are obese just wondering what you guys think and this is 2018 so in the last few years that number has certainly gone up what do you guys think will be the date at which we crossed the 50 threshold meaning more than 50 percent of U.S adults are obese and if so do I become a minority uh and a press minority because I'm leaning in shape what do we think about that anyway let me know what you guys think the year will be that we cross the Obesity threshold 
573,id: MQNZoVv1fVY
574,all right somebody asked a question about how I maintain electrolytes well I generally sold things to taste I mean I think we have a pretty good feedback mechanism you know you know we tend to seek out salt things taste too salty it's probably more than we need I also you know I will use an electrolyte product called lmnt element uh I use it particularly because I spend a lot of time sweating I I work out quite a bit I'm you know doing Jiu Jitsu so I because I sweat so much I lose probably more electrolytes than maybe the average person does so I do tend to supplement with that that's the only I guess quote-unquote supplement that that I actually take so anyway I hope that's helpful uh take care 
575,id: GjXwO7-y684
576,all right the question is do I stick to any particular macronutrient ratio while on the carnivore diet you know generally I kind of just eat to satiety however as I'm currently in this leaning out phase I'm I'm more conscious of that and so typically I usually eat around 300 grams of protein a day uh you know at maintenance and while I'm leaning out as well uh I'm you know pretty beyond 250 pounds so that's a pretty reasonable amount for me at maintenance I'm eating closer to around 300 grams of fat for a total you know just under 4 000 calories currently leaning out I've driven that down to about 3 000 calories and and so the fat has been reduced by about 100 grams or so so that is currently what I'm doing that looks like about a 60 40 split between protein and uh or fat and protein rather and so that's where I find that I do pretty well where I'm able to get lean other people may find that different ratios work for them but anyway I personally like protein I think protein is good for us to maintain lean mass 
577,id: t5waiPUgAMA
578,I think that everybody really knows what to eat but everybody likes overeating because say we're we're humans we're Glutton sometimes and and it feels good to overeat it's a lot harder to overeat plain ground beef than you know fruit or honey it just doesn't make me feel as good as eating good pasture-raised meat 
579,id: Zy7iII5Xi6M
580,I've always wondered about the uh genetic predisposition to these things because I do have some cousins that also have some inflammatory bowel issues but it doesn't make rational sense to me that there are um child specific foods like we're taught I think mostly that's a form of marketing there would be no reason if I had a child that they couldn't eat the way that we do yeah I would see no problem with that with with feeding them the same foods that we eat 
581,id: J3YgmyAPclY
582,okay question around tmao a trimethylamine oxide you know what's the story with that well tmao can be elevated for a number of reasons and I think it's the reasons it's elevated is probably more concerning so one reason is chronic kidney disease if your kidneys are not functioning well it doesn't clear the tmao very well and it accumulates in our bloodstream the other reason is chronic gut dysbiosis so if you have a a poor gut function then that could possibly result in the elevation of tmao now those things clearly associated with overall poor health which could certainly explain their relationship with cardiovascular disease now another reason they may be elevated is due to higher consumption of carnitine and choline which are found in animal products meat eggs things like that now if it's elevated do that alone without kidney disease or gut problems it's unclear if that's a problem at all in fact I suspect it's not so anyway those are my thoughts on tmao 
583,id: cmLtkiMTceA
584,it should be the first first line therapy you know put somebody on an Elimination Diet you know whether it's an SCD diet or a carnivore diet or whatever probably people work it may not actually work for but I mean gosh if it even works for you know 20 of the population that would save them a tremendous amount of suffering because in all probability had you not discovered this diet you probably would have had uh some sort of resection I would imagine 
585,id: MhqOk-kOnOE
586,most of my life I stayed in great shape because my job and my life depended on it as time passed my bulletproof mindset changed I tried keto for two months and had pretty good success however found it complicated I started the carnivore diet took only a few weeks for all that inflammation and joint pain to be relieved I thought it was a miracle I dropped 65 pounds pretty easily over the course of 10 months maintaining muscle strength and feeling great what's funny is people are constantly saying you look great what are you doing I explained the carnivore diet and usually received the identical response they proceed to say no way I couldn't even imagine doing that diet I feel great Sean better than I ever have in decades and I will never go back to the standard American diet 
587,id: T0Wkzvx6tuY
588,you see everyone on Joe Rogan talking about it uh you know Michaela and Jordan Peterson you know they're fixing all their problems with it so I was like Hey like maybe there's something to this let's do a deep dive and you know I started reading some books into it and you know that kind of really led me to think that it it was that that was the path that I should follow so I really dove into that and I honestly I I have never felt better 
589,id: LCUTcCt4Tlc
590,a lot of people find that it's really hard to over consume steak or meat you know ground beef it's hard to do that where it's quite easy to over consume Donuts or you might even say honey or something like that because that sweetness drives more of the feeding behavior and I think you know you are right humans just at the basic levels want to consume as much energy as we possibly can get in because we don't know if we're going to eat again whereas the reality of the modern day life is yes you're going to be able to eat tomorrow I mean whereas maybe 30 000 years ago that that certainty wasn't wasn't there 
591,id: aFGktsOEUC8
592,I was eating a lot of I guess you could say a balanced diet I was drinking raw milk and you know eating sweet potatoes regular potatoes chicken and beef I was getting these like highs and lows I would have to eat like every two hours I would just get these crashes around like two hours three hours or so after eating that I just didn't get on Carnivore I just don't get the crashes anymore and I'm like you know there's definitely something to it 
593,id: ug2pteBai7U
594,all right I deserve a treat right we we've all said that as an excuse to eat some sort of garbagey food well I mean do you actually deserve that do you do you uh deserve uh harming your body in a way do you deserve uh uh you know inflammation do you deserve depression do you do you deserve uh you know fatty liver or uh diabetes or mental health disorders or things like that is that is that what you actually deserve do you believe that because when you have that attitude that is what ultimately you're doing to yourself so if you deserve harming yourself maybe maybe you've done something wrong so get out of the mindset of I deserve a treat because therefore I'm going to eat garbage and abuse my body what you deserve is to be healthy I think anyway keep that in in mind and next time you're making noises what do you deserve deserve to be healthy or do you deserve to be sick 
595,id: hf5mKPtMpyI
596,it's like dog food to me with all the other junk foods and processed things that I used to eat I still had that addiction when you see the Lucky Charms box it lights up your brain makes you want to have it you have this kind of uncontrollable impulse to just grab that Snickers bar and so I feel like eating a meat-based diet has given me the freedom to make my own choices where when my husband would walk down the grocery store aisles he wasn't tempted by anything and we would get to the checkout aisle and I'd say okay sweet I only put the healthy things in my cart but now we're at the checkout aisle and there's Hershey's and Reese's and Snickers all staring at me at the checkout lane and I told them one day I said don't you ever just want one of these he goes what oh I didn't even notice it was there 
597,id: _cQ_OP1rpCE
598,I guess what started it all was I had these sort of weird neurological symptoms the weirdest one was the lack of being able to speak at all I mean I could think the words and whatnot I I couldn't write them down couldn't articulate into a bunch of different doctors over like maybe uh you know six months a year neurologist uh you know psychologists all you know just primary care position nobody had any idea what it was I mean still I never really got a clear diagnosis sort of let me down the rabbit hole to kind of figure it out for myself I kind of landed on Atkins keto type of thing I did okay with that after like the keto and Atkins I decided hey let me try vegan that did not go well at all you go good for a while and then the nutrient deficiencies catch up to you and you don't feel so well on a whim let me try the opposite of vegan and eat only meat that's kind of where I'm at right now you know long story short the carnivore thing is doing great for me 
599,id: 2k-rGxPCHv4
600,all right man Mark philhart tweet thanks good job brother keep up the good work down 100 pounds normalize your hemolo and A1C that's what I'm talking about that's what it's about great to hear uh the rest of you guys keep up the good work 
601,id: SVopUuLLgHo
602,or what about iron overload and red meat while it is true that red meat is a wonderful and very effective way to obtain iron through something called hemine which is in contrast to the non-heem iron founded plants which is poorly absorbed iron overload isn't typically not caused by eating too much meat typically it is related to metabolic disease remember our iron absorption is regulated by a hormone called hepted which is under the influence of insulin when we are insulin resistant when we are hyperinsidemic we then tend to over absorb iron which then results in excess iron stores it's not the iron that we eat it's the iron that we absorb in a healthy metabolism we absorb what we need and not too much and so I've even seen patients with hemochromatosis which is an iron storage genetic problem actually lower their iron storage on a carnivore diet as their metabolic health health gets better so there you go 
603,id: YKGpM6Jtmk4
604,foreign star tick and red meat algae well it is true it does exist there is a tick that lives primarily in the southeast of the United States recently been seen a little bit more in the Northeast United States usually active between April and August if you get bit there is a chance not always but there is a chance you can develop an alpha gal allergy which means you are basically going to develop some sort of reaction to red meat now the symptoms may be just mild itchiness two full-blown anaphylaxises so the treatment for that is basically obviously avoidance of red meat now the good news is is that this allergy usually will Wane over time it's simply going to last for a year or more in many cases so solution to that is to temporarily you're going to be stuck with things like Duck chicken eggs emu perhaps if you're on a carnivore diet so anyway that that is a real situation a real disease unfortunately fortunately it is pretty rare still I'll do a full YouTube video on this in the coming days take care 
605,id: -ZOLe4kO7AE
606,all right some of you guys uh asked me about uh different salts that I might use uh so one thing I use is this little Redmond Real Salt which I've used for a number of years a great product um there is this uh Himalayan pink salt from Spice Willow which uh recently started using quite a nice nice texture as well uh one that I quite like is a nice finishing salt called mold and sea salt so it's got these uh kind of flakes that kind of melt into the meat and then also there's this little for you guys want a little more variety this is an omnivore tartufo salt and so it has uh not only salt but it also has a little bit of black truffle and a little bit of black pepper in there for a little bit of a different flavor profile if you guys like that now most of the time I just use plain salt uh and yeah I'm very simple and it works quite well let me know if you got a favorite salt I mean there's lots of them out there smoke solid volcanic salts things like I've tried many of them but these are ones that are currently in my cupboard and are getting used pretty regularly all right guys you guys take care 
607,id: M_HDQ7Ls6eI
608,[Music] all right so people would ask you do I have a particular meat Supply or things like that well I've used a number of different companies over the years once I'm currently using you know I've used butcher box for about four years every month I get a box from those guys I've had a great success with a company called better fed beef or out of the Midwest a family of 17 Family Farms that uh run by Jack and Max winders uh great company Colorado craft out of Colorado also just tremendous flavor profile Jeff and Kara Smith do a great job with that also the Alpine Butcher you know Alpine Butcher uh Tom Doyle and the folks out there are wonderful people so any of those places and there are so many more guys just find a local Rancher if you can support those folks we need to we need to absolutely support our ranchers and those people that feed us because if they go under we're going to be fed you know ground up slop and that's that's what a lot of people want to sell is that so support your ranches guys take care 
609,id: 6kWwh2AXAUA
610,all right here's something that I often uh get asked about it's about blood type and it is a carnivore diet appropriate for particular blood types well here's a here's the overview basically um if your blood type is type red you can say if you do a carnivore diet and if your blood type is Type green then perhaps a vegan diet is is appropriate for you now you know all serious folks um carbonizement used successfully by all types of different blood types whether it's o a a b you know so on and so forth in fact if you're on a carnivore diet and you're having success you know with your blood type in a comment let's see what we get all right guys you guys take care 
611,id: b2ZfFeMUfgk
612,all right guys here's a couple of more sort of unusual side effects from a carnival bite that many people mentioned so the first one is that many people notice that they tend to sunburn less easily or they tend to have better Sun tolerance or if they burn it's quite minimal and so that's something that many many people have reported uh while going on a carnivore diet uh the next one is uh interestingly less earwax a lot of people notice that they have they produce a lot less ear wax which I think is interesting uh and the final one is a lot of people notice that they just have less body odor that they generally need less deodorant or they smell better or things like that or they just don't have a uh you know as much smelliness so interesting let me know if you've experienced any of those yourself or something else is kind of unusual for carnivore 
613,id: zBSfAQaNFhY
614,okay here's a couple weird side effects from the carnivore diet that some people have reported I've seen some of them myself so number one is the lack of hiccups a lot of people notice that they stop hiccuping after going carnivore so you kind of review that yourself and see if you've noticed that not everybody but many people do a general decrease in skin itchiness a lot of people say they'll itch as much the skin gets healthier um another one is decreased cravings for things like alcohol and cigarettes and things like that a lot of people have noticed that uh they're sort of addictions get better and they're able to stop that and uh a final one is a a general increase in like the growth of like things like males and and uh and hair that grows more rapidly so let me know if you've noticed any of these things or anything else you think is kind of unusual uh unusual side effects all right take care guys 
615,id: wyALe27tc04
616,a little interesting fact so over the last 20 30 years calorie consumption in the United States has not really gone up appreciably but the Obesity rates certainly have our microbiome actually consumes some of our calories and some studies up to 22 percent of the food we consume is actually eaten by bugs that inhabit our gastrointestinal tract now what dictates how much they consume of course how much food actually gets to them so when we're eating unprocessed Whole Foods more of it passes through our upper digestive tract to get to the lower digestive tract where the microbiome actually eats it when we're eating completely processed food add sugars flowers and things like that it generally gets absorbed more readily in the upper area of the small intestine so we actually absorb more food than we would otherwise consume so it's not how much we're eating but how much is actually being absorbed by us and how much is not being eaten by the microbiome so the other thing about Ultra processed foods is we know that your wires the brain to seek out more of that food so try to avoid Ultra processed food 
617,id: 9A0dO_KRo3E
618,okay after doing the last video on the macronutrients there's a lot of people asking what are you doing to get those macronutrient erasers so you know currently like I said about 300 grams of protein and around 200 grams of fat roughly it's not exact but it's pretty close to that so to get you know almost all the fats coming from ribeye about two pounds of ribeye steak Prime ribeye that you know if you look up a prime USDA ribeye pound has about 100 grams I mean two of those and then the rest of the protein sources the other you know you know uh 180 grams or snow 120 grams or so is coming from lean source of protein things like uh fish things like uh non-fat Greek yogurt that that's what I'm doing to make up the protein and fat macros I mean to be truthful there's a little bit of carbohydrate and some Greek yogurt it's pretty significant it might be you know in an order of 10 15 grams something like that so it's pretty inconsequential but anyway that's what the diet looks like right now to lean out let me know what you guys do to get lean 
619,id: pRNTmVO3ygQ
620,all right let's talk a little bit about uh the macronutrients I'm consuming while I'm leaning out so normally at sort of Maintenance I'm usually sitting you know roughly 300 grams of protein 300 grams of fat that is you know something like 3 900 calories and it is about 69 for those calories come from fat currently I'm eating 300 grams of protein and 200 grams of fat now that seems like a significant reduction in fat and it is about a 900 calorie reduction overall uh but I'm still getting when you do the math about 60 of my calories are still coming from fat so I'm going from 69 to 60 I'm still on a very high fat diet and so on a higher protein diet of course uh and I'm leaning out you know you guys probably notice uh and that's what I'm going to use as a strategy I'm using right now so calories do have a roll even in a carnivore diet they have a role particularly after you've been adapted to it you know I've said that many many times all right let me know what you guys think we'll talk to you soon 
621,id: 8HvEXbTvdx0
622,hey folks as I am currently been leaning up some people ask me kind of what I'm eating what my macronutrient breakdown looks like so just for review got up to around close to 270 uh on Carnivore I'm now coming back down I'll probably end up getting that around 2 40 I spent the last three years focusing on putting on muscle now I'm trying to shed a little body fat and so I'm I'm getting you know getting there not quite quite where we want to be yet but um for instance uh yesterday I ate around 300 grams of protein and 200 grams of fat the fat primarily came from Mostly two pounds of ribeye steak and a little bit of salmon in there and also I had some uh non-fat Greek yogurt that made up the majority of my calories one large meal was a steak and then two smaller sort of snacks and then of course standard working out um and that and that's what I'm doing and so we'll see you know I think we've got another few weeks of this probably get down around 2 40ish and I think it'll be fairly lean at that point and then be time to build some more muscle 
623,id: nxoFpFKAbYM
624,we'll get another common misconception around a carnivore diet is you will become constipated now what is true is most likely if you regret dramatically reduced your fiber intake you go to the bathroom less frequently and your bowel moves will be smaller but generally that's not constipation just because you're not going to the bathroom multiple times a day does not mean you're constipated just means that you are absorbing the nutrition you're consuming rather than shoving it all into the toilet you know all those organic fruits and vegetables you consume much of that nutrition ends up in the toilet so with carnivore pretty much what you consume largely uh in excess of 90 is fully absorbed and so what you end up wasting is much much less so typically that is not actually constipation 
625,id: uLEFrKA7oCo
626,okay here's another mistake I see people on a carnivore diet often doing and this is a very common mistake and one is people do this for the reason of losing weight which is you know Common because there's a lot of people that are struggling unfortunately with too much obesity um and one of the things I see people doing is they just restrict them in a number of calories they consume and they end up lots of craving and binging and unable to stay in the diet so don't try to immediately go on a caramel diet in a massive restrict how many calories you consume because it's going to come back to bite you in the form of not being able to sustain a diet okay so eat enough so that you feel full uh eight enough so you don't want it so that you don't have the cravings and that's how I would start 
627,id: ZdgFUH-o4AI
628,okay here's one mistake that I see people on a carnivore diet doing quite quite commonly one is is trying to quit coughing when you first transition to a carnivore diet now certainly reducing or quitting coffee can be beneficial for many people for some people doesn't really seem to make a difference but when your transitioning a carnivore diet your body is under a lot of stress you're reducing carbohydrate content to basically almost zero uh you're dropping your fiber content from maybe a lot to very little those things have physiologic conferences uh the consequences on the body and can lead to stress now in addition to that having you know caffeine withdrawals with headaches and all these types of things on top of that there's often too much for someone to handle at one time so I would suggest maybe wait three six months until you've just adjusted the diet before you consider if you want to ditch coffee all right let me know how that let me know what your experience has been thanks 
629,id: 6sNH0kTlwhQ
630,okay so the question on the other side of the scale but what about protein what's protein you need well you know I mean I think the US RDA is 0.8 grams per kilogram that's abysmally low no one should be that low that's that's that's like sarcopenia level uh protein levels so I think some of the more recent literature suggest 1.2 to 1.6 grams per kilogram uh I tend to eat higher than a lot of people on a carnivore diet eat a little higher than I think the absence of carbohydrates probably dries a little bit higher protein need for many people so maybe one gram per pound of body grade or 2.2 grams per kilogram somewhere in that neighborhood and some even higher than that so you'll have to play with it and see how you do diabetics you know sometimes too much protein will stimulate glucagon release which can then drive glucose production from from liver via hepatic glycogen eliasis but it's a different sort of a different topic there all right hope that helps 
631,id: iIk4qkYmZ6g
632,okay if you watch the last video the obvious questions well who are the groups that might benefit from an even higher fat diet well certainly uh what I've seen is people healing certain neurologic conditions tend to skew towards higher fat percentages at least for a time that is multiple sclerosis uh you know nerve kind of issues sometimes some of the mood disorders do better with higher fat women sometimes you better with a little higher fat than men so those are a couple examples where you might want to skew to even those higher percentages of fat and then of course you know obviously if you're trying to put on a lot of muscle and size you're going to have to up the protein a bit so anyway let me know what you guys think 
633,id: jvMw4aoiK1E
634,okay people are asking to ask me you know about macronutrient Racers on a carnivore diet well I mean for most people you're going to consume probably between 60 and 80 of your calories by percentage are going to come from fat leaving the rest from largely protein there might be some Trace carbohydrates in there if you eat things like eggs a little bit of dairy but pretty much you know 60 to 80 fat uh that may vary a little bit from there's some people at the extremes at that you know some people with certain conditions might even go a little bit higher fat and then at times you know people want to really try to lean out sometimes they'll go even lower on the fat percentage I typically consume right at about 65 to 7 70 of my calories coming from fat currently I'm kind of leaning out so that percentage is slightly lower uh for instance today I just had a big old two or two two and a quarter pound ribeye probably 200 grams of fat in that thing um and I'll probably have close to 300 grams of protein today all right take care 
635,id: 9kaoG78e9M4
636,all right a follow-up question on the dog feeding video and there's one of them there's Maximus and there's Sasha anyway Sasha's about 45 pounds Max was about 18 pounds um sausage eats about a three-quarter pound of meat A Day Maxima seeds between a third and a half a pound of meat a day I feed them once a day sometimes they'll get a little you know a little treat which are you know meat pieces occasionally but that that generally does it for them and that's that's what they eat every day and uh they've been thriving so hopefully that's helpful let me know what you guys feed your dog goes 
637,id: ljsAwdzkZos
638,did you ask me what I feed my dog goes and see if you can see him in front of me anyway the big one is a white Golden Retriever named sausage about 45 pounds and a little one is Maximus he is a about an 18 pound what's called a cottone de tullier and they basically just eat meat and so I give them a lot of typically leaner ground beef sometimes ground turkey sometimes bits of chicken that's pretty much what they've been eating for the last six years they're thriving on that Sasha is almost uh she's about 11 and a half Maximus is almost eight and they both you know they both do quite well they're they're out here they're out there going to the bathroom and stuff but um that's what I do that one thing I would caution you guys with with dogs as opposed to humans dogs require a lot less fat than humans do just because they have a much smaller brain they don't have the energy requirements per amount of body size that humans do and so unless they're you know sled dogs or something like that but generally if you give a dog a high fat diet you're going to have problems with diarrhea so keep it relatively in what your dog goes 
639,id: H6e_pvCuj-g
640,okay let's talk a little bit about all-cause mortality in the uh relationship between ileo cholesterol and likely apob I think there's more studies on LDL suggestions I don't know if there's much on apob but certainly you know when we when we distinguish between cardiovascular disease cardiovascular mortality it all cause mortality things are very very much different in fact there are many many studies out there that show that you know LDL cholesterol Falls at J curve we're a very low LDL cholesterol is associated with higher mortality there's kind of this middle range and then as it gets very very high there's a slide shift upwards towards mortality I assume the apob curve is going to look very similar and so uh you know again quality of life we're all gonna die of something it's gonna be heart disease it's going to be cancer is it going to be dementia is it going to be violent crime and suicide all these things come into the mix when you're making these decisions so it's not just a you know uh you know a black and white issue which many people have you believe it is even many Physicians 
641,id: VUpFewydSwg
642,so if we have people that are metabolically healthy is defined by the last video are they likely to have heart disease when their apob levels or LDL levels are high well it's interesting there are some a number of cities out there that suggest that perhaps not not not not conclusively not but perhaps not and so there's a large registry and danish heart registry study where they looked at people with zero coronary calcium scan scores and they showed that no matter what your audio cholesterol is from very low all the way up to 190 plus which is considered quite High didn't seem to have any major differences on something called mace or major adverse cardiac events now uh that's that's one there are several other studies out there that seem to suggest something similar that other factors may come in a role there's studies where LDL cholesterol is not associated certainly when you start talking about all cause mortality am I going to die or not die then the discussion it's very very different very quickly 
643,id: 6wJv9qigcMA
